@relation 'wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-V-R11,8,5,7,4,3,6,2,9,1,10,12'

@attribute alcohol numeric
@attribute density numeric
@attribute chlorides numeric
@attribute totalsulfur numeric
@attribute residualsugar numeric
@attribute citricacid numeric
@attribute freesulfur numeric
@attribute volacid numeric
@attribute pH numeric
@attribute fixedacid numeric
@attribute sulphates numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
9.5,0.994,0.049,132,1.6,0.34,14,0.3,3.3,6.3,0.49,6
10.1,0.9951,0.05,97,6.9,0.4,30,0.28,3.26,8.1,0.44,6
10.1,0.9951,0.05,97,6.9,0.4,30,0.28,3.26,8.1,0.44,6
9.6,0.9949,0.045,136,7,0.16,30,0.32,3.18,6.2,0.47,6
11.4,0.9914,0.032,112,1.5,0.38,28,0.17,3.25,6.6,0.55,7
9.6,0.9928,0.046,99,1.1,0.04,30,0.48,3.24,6.3,0.36,6
12.8,0.9892,0.029,75,1.2,0.48,29,0.66,3.33,6.2,0.39,8
11.3,0.9917,0.033,171,1.1,0.42,17,0.34,3.12,7.4,0.53,6
9.5,0.9955,0.044,133,7.5,0.14,34,0.31,3.22,6.5,0.5,5
12.8,0.9892,0.029,75,1.2,0.48,29,0.66,3.33,6.2,0.39,8
11,0.9912,0.038,102,2.9,0.38,19,0.31,3.17,6.4,0.35,7
10,0.993,0.052,146,1,0.35,35,0.24,3.45,6.9,0.44,6
11.6,0.9914,0.047,132,1.1,0.48,17,0.27,3.19,7.4,0.49,6
12.3,0.9906,0.033,114,2,0.36,37,0.32,3.1,7.2,0.71,7
10.2,0.9934,0.042,47,1.1,0.34,7,0.14,3.47,8.3,0.4,6
9,0.9939,0.045,117,1.5,0.34,43,0.12,3.42,6.2,0.51,6
10.2,0.9962,0.044,179,14.95,0.2,22,0.27,3.37,5.8,0.37,5
10,0.9934,0.051,149,5.4,0.23,25,0.39,3.24,6.5,0.35,5
11.2,0.9906,0.053,138,1.2,0.32,38,0.33,3.13,7,0.28,6
8.6,0.9999,0.057,149,17.95,0.39,45,0.24,3.21,7.3,0.36,5
9.8,0.9954,0.069,160,7.4,0.26,28,0.31,3.13,7,0.46,6
9.5,0.9934,0.06,154,1.4,0.26,33,0.23,3.24,6.7,0.56,6
10,0.9931,0.058,167,1.4,0.31,38,0.18,3.16,7.4,0.53,7
9.8,0.994,0.063,206,4.4,0.26,63,0.45,3.27,6.2,0.52,4
9.8,0.9939,0.066,207,4.4,0.25,62,0.46,3.25,6.2,0.52,5
9.8,0.995,0.067,150,5,0.35,32,0.19,3.36,6.9,0.48,5
11.7,0.9917,0.062,173,1.6,0.31,31,0.19,3.35,7.2,0.44,6
11,0.9914,0.068,124,1.1,0.29,39,0.25,3.34,6.6,0.58,7
10.9,0.9911,0.045,108,1,0.35,39,0.18,3.31,6.4,0.35,6
9.1,0.993,0.147,132,0.9,0.59,38,0.2,3.05,6.8,0.38,6
11,0.9908,0.039,191,1.3,0.35,29,0.25,3.13,6.9,0.52,6
9.6,0.9962,0.043,213,11.9,0.34,37,0.21,3.09,7.2,0.5,6
8.9,0.9972,0.048,147,12.4,0.26,50,0.19,3.3,6,0.36,6
10.2,0.9931,0.044,78,4.6,0.15,25,0.38,3.11,6.6,0.38,6
9.9,0.9926,0.038,111,1.2,0.36,44,0.2,3.36,7.4,0.34,6
8.6,0.9951,0.092,123,4.9,0.24,30,0.22,3.03,6.8,0.46,6
8.9,0.9972,0.048,147,12.4,0.26,50,0.19,3.3,6,0.36,6
10.5,0.991,0.035,151,1.1,0.07,17,0.47,3.02,7,0.34,5
10.2,0.9931,0.044,78,4.6,0.15,25,0.38,3.11,6.6,0.38,6
10.3,0.9927,0.038,122,1.4,0.27,31,0.24,3.15,7.2,0.46,6
9.1,0.9934,0.064,120,1.2,0.03,29,0.35,3.22,6.2,0.54,5
12.6,0.9903,0.04,124,6.4,0.24,27,0.26,3.22,6.4,0.49,7
9.8,0.992,0.041,174,1.2,0.13,81,0.25,3.14,6.7,0.42,5
9,0.9956,0.056,244,7.8,0.43,48,0.27,3.1,6.2,0.51,6
9.5,0.9958,0.061,238.5,4.6,0.23,50.5,0.3,3.32,6.8,0.6,5
10,0.9964,0.063,201,4.8,0.28,31,0.27,3.69,6,0.71,5
9.1,0.9941,0.054,72,1,0.46,9,0.23,2.95,8.6,0.49,6
10.7,0.9926,0.046,96,2.1,0.31,30,0.23,3.33,6.7,0.64,8
9.5,0.9962,0.05,105,10.1,0.29,21,0.24,3.13,7.4,0.35,5
12.7,0.9898,0.043,87,1.4,0.36,31,0.18,3.26,7.1,0.37,7
12,0.9912,0.042,69,1.3,0.34,20,0.32,3.31,7,0.65,7
9,0.9949,0.06,105,5.4,0.28,21,0.54,3.27,6.7,0.37,5
10.6,0.9929,0.053,114,1.4,0.31,34,0.22,3.39,6.8,0.77,6
10,0.9946,0.063,164,6.1,0.2,47,0.34,3.17,7.1,0.42,5
9.5,0.9966,0.047,207,8.2,0.3,42,0.22,3.33,7.3,0.46,6
