@relation 'AT: wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.514density+0.438alcohol-0.428residualsugar-0.408totalsulfur-0.296freesulfur... numeric
@attribute -0.581fixedacid+0.577pH-0.334citricacid+0.321freesulfur+0.261totalsulfur... numeric
@attribute 0.581volacid-0.523citricacid-0.446sulphates-0.264freesulfur+0.231residualsugar... numeric
@attribute '0.77 chlorides+0.348sulphates-0.296freesulfur-0.288residualsugar+0.247volacid...' numeric
@attribute '0.661volacid+0.423sulphates+0.332alcohol+0.29 totalsulfur+0.281fixedacid...' numeric
@attribute 0.528sulphates-0.497freesulfur-0.351chlorides+0.322density+0.271residualsugar... numeric
@attribute -0.714citricacid-0.409pH+0.287sulphates-0.274volacid-0.22residualsugar... numeric
@attribute -0.579fixedacid-0.553pH+0.374residualsugar+0.296sulphates-0.228totalsulfur... numeric
@attribute '0.627alcohol+0.403residualsugar+0.397chlorides+0.329fixedacid+0.25 pH...' numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
0.620423,0.399198,0.297521,1.060876,-0.619944,0.52589,-0.430295,-0.60386,-1.067775,6
-0.136361,-1.17265,-0.011882,0.259823,-0.304476,0.465056,-0.537267,-1.014085,0.524808,6
-0.136361,-1.17265,-0.011882,0.259823,-0.304476,0.465056,-0.537267,-1.014085,0.524808,6
-0.093401,0.79137,1.383967,0.090157,-0.452262,0.37373,0.69853,0.094811,-0.482512,6
1.731353,0.086196,-1.311625,-0.124161,-0.320355,0.357088,-0.014098,0.051999,-0.134983,7
1.293799,0.946732,2.935152,0.55855,-0.037558,-0.385046,0.813296,-0.795952,-0.773701,6
2.999235,0.133506,1.582879,0.51856,2.433529,-1.052398,-2.798731,0.101474,-0.384162,8
0.972598,-0.86208,-0.425811,0.304499,1.363242,-0.105522,-0.173145,-0.457694,-0.725002,6
-0.311557,0.901103,1.223228,0.044333,-0.37368,0.657129,0.883416,-0.162037,-0.225789,5
2.999235,0.133506,1.582879,0.51856,2.433529,-1.052398,-2.798731,0.101474,-0.384162,8
1.72659,-0.610487,0.623436,-0.07656,-0.472686,-0.524851,-0.827576,0.029065,-0.570394,7
0.5433,0.891536,-0.552422,0.55548,-0.68687,-0.29613,-0.464529,-1.573771,-0.131121,6
1.389941,-1.119718,-0.885581,0.622986,0.410291,-0.223803,-0.691303,-0.416036,-0.060768,6
1.65781,-0.302578,-1.169469,0.327511,1.893437,0.365568,0.652936,0.814883,0.168484,7
1.879845,-1.193672,-0.472452,0.424633,-1.815221,1.419247,-0.463995,-2.309871,0.65535,6
0.297677,1.330108,-1.28143,0.233443,-1.785575,0.330544,0.062563,-0.798872,-0.663692,6
-0.794198,1.576937,1.608645,-0.685359,-1.09605,0.633796,-0.722984,-0.168358,0.464094,5
0.301487,0.426569,1.755011,0.306091,-0.189812,-0.525717,-0.220251,-0.655054,-0.415513,5
1.188416,-0.566424,0.743428,-0.112968,-0.085125,-1.98162,-0.07898,-0.580688,-0.061505,6
-3.090098,-0.383592,0.727097,-0.669197,-1.336376,0.380769,-0.851435,-0.236474,0.558496,5
-0.859138,-0.160092,0.901707,0.829672,-0.286955,-0.182131,0.48367,-0.156533,0.081417,6
0.052663,0.688556,-0.408021,1.032209,-0.488216,0.026711,0.955798,-0.519278,-0.527133,6
-0.13007,-0.140302,-0.998859,0.53588,-0.312706,-0.437472,1.142401,-0.683938,-0.175917,7
-1.144244,2.042416,0.62317,0.768619,1.246885,-1.42753,0.259115,-0.296683,-0.474045,4
-1.15589,1.983107,0.753539,0.893557,1.288015,-1.492676,0.348689,-0.226975,-0.467467,5
-0.422137,0.538906,-0.579766,0.841898,-1.121993,0.073617,-0.188436,-0.883891,0.297615,5
0.959269,0.458488,-0.774197,0.438626,-0.338264,-0.820696,0.12304,-1.194119,0.906962,6
1.119079,1.019244,-0.758773,1.293364,-0.136445,-0.296502,0.408693,-0.23691,0.495593,7
1.577806,0.346999,-0.492907,-0.304225,-1.319433,-0.976421,-0.359582,-0.559683,-0.004199,6
-1.168002,-1.482382,-1.016685,3.604524,-2.163846,-2.824768,-0.502184,0.451371,0.15978,6
0.74663,-0.009308,-0.774963,0.032648,0.637266,-0.642688,0.533324,-0.276093,-0.655846,6
-2.012419,-0.131844,-0.256258,-0.662061,-0.038536,0.148316,0.473251,-0.040983,-0.176751,6
-1.571264,1.27676,0.635921,-0.888728,-1.893016,-0.0361,-0.202329,-0.111855,0.029153,6
1.192667,-0.29887,2.117937,0.121105,-0.402597,-0.012834,0.595622,0.08353,-0.315257,6
0.754617,-0.053967,-0.51792,-0.489682,-1.103661,-0.644504,-0.292224,-1.655408,-0.132222,6
-0.940536,-0.5963,0.643788,1.678836,-1.678304,-0.471228,1.328808,0.282404,-0.251776,6
-1.571264,1.27676,0.635921,-0.888728,-1.893016,-0.0361,-0.202329,-0.111855,0.029153,6
1.426634,-0.409228,2.784659,-0.038025,0.890237,-0.818303,1.306327,-0.67387,-0.969646,5
1.192667,-0.29887,2.117937,0.121105,-0.402597,-0.012834,0.595622,0.08353,-0.315257,6
0.882258,-0.417245,-0.025996,-0.100097,-0.30471,-0.085895,0.787999,-0.569501,-0.418963,6
0.601256,1.323716,1.61824,1.43537,-0.479589,0.276731,1.81488,-0.302163,-0.634179,5
1.944885,0.46524,0.187083,-0.358643,0.22613,-0.081893,0.169007,0.548624,0.90367,7
-0.283401,1.448621,-0.029101,-1.042781,0.011716,-2.03417,2.065935,-0.55488,-0.391328,5
-2.327693,0.775609,-0.591494,0.146886,0.160278,-0.991467,-0.008374,0.267309,-1.216185,6
-1.690139,1.944999,-0.341859,0.739514,0.692581,-0.315553,0.960814,-1.0097,-0.213661,5
-0.610606,3.358117,-0.918194,1.693875,0.07906,1.414962,-0.533643,-1.290947,0.325343,5
0.300475,-3.330289,-0.441933,1.129574,-0.623196,0.651268,0.509272,-0.530177,-0.859953,6
1.284489,0.638895,-0.917855,0.835994,-0.141316,0.971537,0.298543,-0.095499,0.083001,8
-0.542029,-1.197805,1.128369,-0.232437,-1.351348,0.500833,-0.010304,-0.374917,0.17975,5
2.584977,-0.597328,-0.666556,-0.44713,-0.637466,-0.810651,-0.353816,-0.358441,1.043542,7
2.399554,-0.013088,-0.565266,1.04277,0.797628,1.086224,-0.190928,0.091619,0.461136,7
-0.019089,0.030962,2.610351,1.37317,0.192826,-0.059206,-0.948093,-0.763225,-0.817485,5
0.923435,1.211212,-1.646233,1.440935,0.309663,1.346788,0.635203,-0.166343,0.21648,6
-0.748391,0.416675,1.024235,0.276675,0.080489,-0.910021,0.808197,-0.5446,0.259805,5
-1.627891,0.815861,-0.25896,-0.338282,-0.333649,0.053433,0.154018,-1.36092,0.121878,6
-2.539327,-0.769933,0.068071,0.010693,0.865664,-0.37162,-1.921818,0.268508,-1.086715,6
-2.559242,1.216164,-0.199566,-0.930948,0.01942,-0.588661,0.228189,-0.003963,0.497851,6
-2.585049,-0.749307,0.058963,-0.061682,0.79338,-0.514378,-1.80214,0.271401,-1.046351,5
-2.539327,-0.769933,0.068071,0.010693,0.865664,-0.37162,-1.921818,0.268508,-1.086715,6
-2.579651,-0.961382,-0.275117,-0.201159,0.585048,-0.622586,-1.711819,0.212732,-1.083456,6
-2.479818,1.162073,-0.716469,-0.475985,0.184928,-1.530594,-0.035499,0.181887,-1.214545,5
1.87017,0.30892,-0.639996,-0.869762,0.310468,-1.31078,-0.095051,-0.411302,0.721664,7
1.864535,0.293864,-0.862214,-0.976869,0.179132,-1.267659,0.045625,-0.335113,0.747258,7
0.83014,-0.078613,-1.142509,-0.753459,-0.067034,-1.037128,0.686505,-0.774524,0.558723,7
-2.952248,0.386719,0.242186,-1.268686,0.221692,-1.057796,0.836268,-0.125202,-0.286421,6
-0.458452,-4.686282,1.361665,-0.385021,0.33023,0.574952,-0.497593,-0.962277,0.266237,4
-2.894098,-0.655157,0.146267,-0.449259,-0.243135,-0.605329,0.41981,0.289823,0.056138,5
-1.560472,1.740502,0.517316,-0.831454,-1.410185,-0.208479,-0.123888,-0.196116,0.340849,5
-2.894098,-0.655157,0.146267,-0.449259,-0.243135,-0.605329,0.41981,0.289823,0.056138,5
-1.422542,-0.737669,0.386945,-0.836996,-2.16334,0.647418,-0.162051,-0.243432,0.722803,6
-1.61328,1.152441,-0.899968,-0.779676,-1.498284,-0.433467,0.047873,-1.109579,0.806736,5
-2.999086,0.514008,-0.450441,-0.924612,0.038304,0.874974,0.254689,0.506245,0.299774,6
0.101032,1.016247,-0.380695,0.88877,0.975132,-0.187514,0.653849,-0.713563,-0.458354,5
-4.314494,-0.204772,-0.154041,-0.62605,0.42867,0.184729,-0.380327,0.452285,-0.174545,5
-1.235462,0.287976,1.077045,0.636485,0.362001,0.635505,-0.565205,-0.150128,-0.686144,5
1.550709,1.102298,0.640707,0.067296,-0.08668,-0.257887,-0.176132,-0.225858,-0.112447,6
2.264931,-1.116052,-0.848723,-0.336432,-1.01678,0.121365,-0.314296,-0.11578,0.212925,6
-3.201282,-0.478823,-0.242654,-0.088652,0.522785,-0.584578,-0.37462,0.450726,-0.138729,5
